decision_id,title,agenda_no,meeting_type,decision_type,decision_date,detail_url
10329,「농어업고용인력 지원 특별법 시행규칙」 제정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-201-11호,제 2 소 위 원 회,심의ㆍ의결,2026-01-14,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10329&type=HTML&mobileYn=
10335,「치유관광산업 육성에 관한 법률 시행규칙」 제정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-201-14호,제 2 소 위 원 회,심의ㆍ의결,2026-01-14,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10335&type=HTML&mobileYn=
10333,「산업집적활성화 및 공장설립에 관한 법률 시행규칙」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-201-12호,제 2 소 위 원 회,심의ㆍ의결,2026-01-14,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10333&type=HTML&mobileYn=
10343,「군검찰사무 운영규정」일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2026-201-3호,제 2 소 위 원 회,심의ㆍ의결,2026-01-14,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10343&type=HTML&mobileYn=
10293,「해상풍력 보급 촉진 및 산업 육성에 관한 특별법 시행규칙」 제정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-224-475호,제 2 소 위 원 회,심의ㆍ의결,2025-12-24,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10293&type=HTML&mobileYn=
10295,「콘텐츠산업 진흥법 시행령」 일부개정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-224-485호,제 2 소 위 원 회,심의ㆍ의결,2025-12-24,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10295&type=HTML&mobileYn=
10299,「경북ㆍ경남ㆍ울산 초대형산불 피해구제 및 지원 등을 위한 특별법 시행령」 제정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-224-484호,제 2 소 위 원 회,심의ㆍ의결,2025-12-24,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10299&type=HTML&mobileYn=
10297,「해상풍력 보급 촉진 및 산업 육성에 관한 특별법」 제정안에 대한 개인정보 침해요인 평가에 관한 건,제2025-224-483호,제 2 소 위 원 회,심의ㆍ의결,2025-12-24,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10297&type=HTML&mobileYn=
10283,한국교통안전공단의 자동차사고 조사를 위한 소방청 보유 개인정보 제공 요청에 관한 건,제2025-123-033호,제 1 소 위 원 회,심의ㆍ의결,2025-12-10,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10283&type=HTML&mobileYn=
10349,,,,심의ㆍ의결,,/DRF/lawService.do?OC=byoungpil.kim&target=ppc&ID=10349&type=HTML&mobileYn=
