decision_id,decision_date,document_category,title,applicant,sanction_strength,sanction_types,monetary_amount,violated_articles,case_type,raw_xml_path
8291,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,2,시정명령,,제34조;제40조;제64조,유출·침해;처리위탁;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/8291.xml
8293,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,1,개선권고,,제15조;제39조의10;제39조의3;제61조,유출·침해;동의·고지 위반;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/8293.xml
8295,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,(사업자등록번호 : )대표자,4,과태료,3000000.0,제29조;제2조;제48조의2;제4조;제63조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/8295.xml
8299,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,4,과태료;시정명령,1000000.0,제18조;제26조;제28조;제2조;제5조;제63조;제64조;제75조,유출·침해;동의·고지 위반;목적 외 이용;처리위탁,/home/bpkim/pipc/data/raw/decisions/8299.xml
8301,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,4,과태료;시정명령,1000000.0,제18조;제26조;제28조;제2조;제5조;제63조;제64조;제75조,유출·침해;동의·고지 위반;목적 외 이용;처리위탁,/home/bpkim/pipc/data/raw/decisions/8301.xml
8303,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,4,과태료;시정명령,1000000.0,제18조;제26조;제28조;제2조;제5조;제63조;제64조;제75조,유출·침해;동의·고지 위반;목적 외 이용;처리위탁,/home/bpkim/pipc/data/raw/decisions/8303.xml
8305,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,4,과태료;시정명령,1000000.0,제18조;제26조;제28조;제2조;제5조;제63조;제64조;제75조,유출·침해;동의·고지 위반;목적 외 이용;처리위탁,/home/bpkim/pipc/data/raw/decisions/8305.xml
8307,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,4,과태료;시정명령,1000000.0,제18조;제26조;제28조;제2조;제5조;제63조;제64조;제75조,유출·침해;동의·고지 위반;목적 외 이용;처리위탁,/home/bpkim/pipc/data/raw/decisions/8307.xml
8309,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8309.xml
8311,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8311.xml
8313,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8313.xml
8315,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8315.xml
8317,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8317.xml
8319,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8319.xml
8321,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8321.xml
8323,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8323.xml
8327,2023-07-12,enforcement,개인정보보호 법규 위반행위에 대한 시정조치에 관한 건,대표자,2,시정명령,,제26조;제28조;제2조;제64조,유출·침해;처리위탁,/home/bpkim/pipc/data/raw/decisions/8327.xml
5041,2023-07-26,enforcement,,"에 대하여 다음과 같이 과태료를 부과한다.가. 과 태 료 : 3,000,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과태료,6000000.0,제11조;제22조;제23조;제24조;제25조의2;제29조;제2조;제30조;제34조의2;제63조;제75조;제7조;제8조,유출·침해;동의·고지 위반;민감정보·고유식별정보,/home/bpkim/pipc/data/raw/decisions/5041.xml
5049,2023-07-26,enforcement,,"에 대하여 다음과 같이 과태료를 부과한다.가. 과 태 료 : 3,000,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과태료,6000000.0,제18조;제24조;제24조의2;제2조;제5조;제63조;제75조;제7조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5049.xml
5053,2023-07-26,enforcement,개인정보보호 법규 위반행위에 대한 시정조치 및 개선권고에 관한 건,대표이사,4,과태료;개선권고,3600000.0,제18조;제29조;제2조;제39조의4;제3조;제4조;제5조;제61조;제63조;제75조;제7조,유출·침해;동의·고지 위반;국외이전;안전조치 미흡;보유기간·파기 위반;처리위탁;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5053.xml
5055,2023-07-26,enforcement,,"에 대하여 다음과 같이 과징금을 부과한다.가. 과 징 금 : 12,500,000원나. 납부기한 : 고지서에 명시된 납부기한 이내다. 납부장소 : 한국은행 국고수납 대리점",4,과징금;과태료,500000000.0,제24조;제29조;제2조;제30조;제34조의2;제40조의2;제5조;제63조;제6조;제75조;제76조;제8조,유출·침해;동의·고지 위반;안전조치 미흡;민감정보·고유식별정보;정보주체 권리보장,/home/bpkim/pipc/data/raw/decisions/5055.xml
