law_name,count
출입국관리법 시행령,2
산림보호법 시행규칙,2
국민연금법 시행령,2
국민연금법 시행규칙,2
공직후보자 등에 관한 정보의 수집 및 관리에 관한 규정,2
고향사랑 기부금에 관한 법률 시행령,2
검사와 사법경찰관의 상호협력과 일반적 수사준칙에 관한 규정,2
구직자 취업촉진 및 생활안정지원에 관한 법률 시행령,2
장애인고용촉진 및 직업재활법 시행령,2
소비자생활협동조합법 시행령,2
벤처투자 촉진에 관한 법률 시행령,2
소득세법 시행령,2
상속세 및 증여세법 시행령,2
국제조세조정에 관한 법률 시행령,2
지방행정제재ㆍ부과금의 징수 등에 관한 법률 시행령,2
민방위기본법 시행규칙,2
전자장치 부착 등에 관한 법률 시행규칙,2
30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법 시행령,2
통계법 시행령,2
부동산 거래신고 등에 관한 법률 시행규칙,2
동물원 및 수족관의 관리에 관한 시행령,2
근로자퇴직급여 보장법 시행령,2
새마을금고법 시행령,2
한국주택금융공사법 시행령,2
공무원 징계령,2
벤처투자 촉진에 관한 법률 시행규칙,2
호스피스ㆍ완화의료 및 임종과정에 있는 환자의 연명의료결정에 관한 법률 시행규칙,2
역사문화권 정비 등에 관한 특별법 시행규칙,2
검찰보존사무규칙,2
폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 시행규칙,2
예술인 복지법 시행령,2
무인도서의 보전 및 관리에 관한 법률 시행규칙,2
한국해양진흥공사법 시행령,2
여수ㆍ순천 10ㆍ19사건 진상규명 및 희생자 명예회복에 관한 특별법 시행령,2
수산업법 시행령,2
보훈기금법 시행령,2
여권법 시행령,2
군인연금법 시행령,2
비상사태등에 대비하기 위한 해운 및 항만 기능유지에 관한 법률 시행규칙,2
양식산업발전법 시행령,2
해양폐기물 및 해양오염퇴적물 관리법 시행규칙,2
군인연금법 시행규칙,2
가덕도신공항건설공단법 시행령,2
벤처 투자촉진에 관한 법률 시행규칙,2
군인 재해보상법 시행령,2
지방회계법 시행령,2
특정중대범죄 피의자 등 신상정보 공개에 관한 법률 시행령,2
다중이용업소의 안전관리에 관한 특별법 시행규칙,2
5ㆍ18민주유공자 예우 및 단체설립에 관한 법률 시행규칙,2
고엽제 후유의증 등 환자지원 및 단체설립에 관한 법률 시행규칙,2
참전유공자 예우에 관한 법률 시행규칙,2
독립유공자 예우에 관한 법률 시행규칙,2
인신매매등방지 및 피해자 보호등에 관한 법률,2
아동ㆍ청소년의 성보호에 관한 법률,2
방첩업무 규정,2
학교폭력예방 및 대책에 관한 법률 시행령,2
예술인 복지법 시행규칙,2
자연유산의 보존 및 활용에 관한 법률 시행규칙,2
장애인복지법,2
후천성면역결핍증예방법 시행규칙,2
고독사 예방 및 관리에 관한 법률 시행령,2
고용정책기본법 시행령,2
위험물철도운송규칙,2
외국인투자촉진법 시행령,2
가상자산 이용자 보호 등에 관한 법률 시행령,2
도심융합특구 조성 및 육성에 관한 특별법 시행령,2
도심융합특구 조성 및 육성에 관한 특별법 시행규칙,2
분산에너지 활성화 특별법 시행규칙,2
소하천정비법 시행규칙,2
교원의 지위 향상 및 교육활동 보호를 위한 특별법 시행령,2
장애아동 복지지원법 시행령,2
기업활력 제고를 위한 특별법 시행령,2
도시가스사업법 시행규칙,2
내수면가두리양식어업 면허기간 연장불허에 따른 손실보상에 관한 특별법 시행규칙,2
분산에너지 활성화 특별법 시행령,2
내수면가두리양식어업 면허기간 연장불허에 따른 손실보상에 관한 특별법 시행령,2
보훈기금법 시행규칙,2
공공주택특별법 시행령,2
항공기 등록규칙,2
특정 금융거래정보의 보고 및 이용 등에 관한 법률 시행령,2
재건축초과이익 환수에 관한 법률 시행규칙,2
재건축초과이익 환수에 관한 법률 시행령,2
녹색건축물 조성 지원법 시행규칙,2
수도용 자재와 제품의 위생안전기준 인증 등에 관한 규칙,2
유어장의 지정 및 관리에 관한 규칙,2
농촌진흥법 시행령,2
기술의 이전 및 사업화 촉진에 관한 법률,2
금융회사의 지배구조에 관한 법률 시행령,2
전기사업법 시행령,2
청소년 보호법 시행령,2
담배사업법 시행규칙,2
물의 재이용 촉진 및 지원에 관한 법률 시행규칙,2
선박평형수 관리법 시행규칙,2
선박에서의 오염방지에 관한 규칙,2
농어촌정비법 시행규칙,2
농어촌정비법 시행령,2
도시농업의 육성 및 지원에 관한 법률 시행규칙,2
국가공무원 등 직무발명의 처분ㆍ관리 및 보상 등에 관한 규정 시행규칙,2
국가공무원 등 직무발명의 처분ㆍ관리 및 보상 등에 관한 규정,2
한국해양과학기술원법 시행령,2
평생교육법 시행규칙,2
유아교육법 시행령,2
도심항공교통 활용 촉진 및 지원에 관한 법률 시행규칙,2
도심항공교통 활용 촉진 및 지원에 관한 법률 시행령,2
검사의 국선변호사 선정 등에 관한 규칙,2
