decision_id,decision_date,year,document_category,sanction_strength,monetary_amount,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied,issue_id,issue_label
1615,2022-05-25,2022,enforcement,4,4500000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1617,2022-05-25,2022,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
1619,2022-05-25,2022,enforcement,4,13500000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1621,2022-05-25,2022,enforcement,4,7800000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1623,2022-05-25,2022,enforcement,4,3600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1625,2022-07-13,2022,other,1,,0,0,0,0,1,1,0,2,대규모 유출과 과징금 비례성
1671,2021-09-08,2021,enforcement,4,4800000.0,1,1,0,0,1,0,0,2,대규모 유출과 과징금 비례성
1673,2021-09-08,2021,enforcement,4,4800000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
1675,2021-09-08,2021,enforcement,4,4800000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
1677,2021-09-08,2021,enforcement,4,4200000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
1679,2021-09-08,2021,enforcement,4,4800000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
