decision_id,decision_date,year,document_category,sanction_strength,monetary_amount,outcome_high_sanction,outcome_has_fine,outcome_has_publication,outcome_has_correction,outcome_has_recommendation,outcome_data_request_allowed,outcome_data_request_denied,issue_id,issue_label
10459,2025-09-24,2025,enforcement,4,2700000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10461,2025-11-20,2025,enforcement,4,523000000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10463,2025-10-22,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10465,2026-03-25,2026,enforcement,4,532000000.0,1,1,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10467,2026-03-25,2026,enforcement,4,378000000.0,1,1,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10469,2026-04-08,2026,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10471,2026-04-08,2026,enforcement,2,,0,0,1,1,0,0,0,2,대규모 유출과 과징금 비례성
10473,2026-04-08,2026,enforcement,2,,0,0,1,0,1,0,0,2,대규모 유출과 과징금 비례성
10475,2026-04-08,2026,enforcement,2,,0,0,1,1,0,0,0,2,대규모 유출과 과징금 비례성
10477,2026-04-08,2026,enforcement,2,,0,0,1,1,0,0,0,2,대규모 유출과 과징금 비례성
10479,2025-01-08,2025,enforcement,4,4500000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10481,2025-01-08,2025,enforcement,4,5400000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10485,2025-02-12,2025,enforcement,4,3900000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10487,2025-04-23,2025,enforcement,4,7200000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
10489,2025-11-20,2025,enforcement,4,60600000.0,1,1,1,0,0,1,0,2,대규모 유출과 과징금 비례성
10491,2025-06-11,2025,enforcement,4,6000000.0,1,1,0,0,0,1,1,2,대규모 유출과 과징금 비례성
10493,2025-11-20,2025,enforcement,4,,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10495,2025-05-02,2025,other,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
10497,2025-09-10,2025,enforcement,4,9000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10501,2025-11-20,2025,enforcement,4,9600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10503,2025-04-09,2025,enforcement,4,6900000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10505,2025-12-10,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10507,2025-12-10,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10509,2025-04-23,2025,enforcement,4,3600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10511,2025-06-25,2025,enforcement,4,1800000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10513,2025-11-20,2025,enforcement,2,,0,0,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10515,2025-11-20,2025,enforcement,4,2700000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10533,2025-09-10,2025,enforcement,4,4800000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10535,2026-03-25,2026,enforcement,4,5400000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
10541,2025-11-26,2025,enforcement,4,55200000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
10543,2025-11-20,2025,enforcement,4,100000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1071,2017-11-27,2017,data_provision_request,0,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
1075,2018-04-09,2018,enforcement,4,5000000.0,1,1,0,0,0,1,0,2,대규모 유출과 과징금 비례성
1123,2012-11-26,2012,other,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
1129,2012-11-12,2012,enforcement,1,,0,0,0,0,1,0,0,2,대규모 유출과 과징금 비례성
1149,2016-10-24,2016,enforcement,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
117,2018-07-09,2018,other,1,,0,0,0,0,1,0,1,2,대규모 유출과 과징금 비례성
1323,2019-12-09,2019,enforcement,0,,0,0,0,0,0,1,1,2,대규모 유출과 과징금 비례성
1343,2020-07-13,2020,other,0,,0,0,0,0,0,0,1,2,대규모 유출과 과징금 비례성
1351,2020-04-27,2020,other,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
1381,2019-06-24,2019,enforcement,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
1395,2019-06-10,2019,other,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
1407,2019-11-11,2019,complaint_or_interpretation,0,,0,0,0,0,0,0,1,2,대규모 유출과 과징금 비례성
143,2018-11-26,2018,other,0,,0,0,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1465,2022-04-27,2022,enforcement,4,10000000.0,1,1,1,1,0,0,0,2,대규모 유출과 과징금 비례성
1471,2022-05-11,2022,enforcement,4,10000000.0,1,1,1,1,0,0,0,2,대규모 유출과 과징금 비례성
1473,2022-05-11,2022,enforcement,4,6000000.0,1,1,1,1,0,0,0,2,대규모 유출과 과징금 비례성
1475,2022-05-11,2022,enforcement,4,10000000.0,1,1,1,1,0,0,0,2,대규모 유출과 과징금 비례성
1479,2022-04-27,2022,enforcement,4,10000000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
1481,2022-05-11,2022,enforcement,4,6000000.0,1,1,0,1,0,0,0,2,대규모 유출과 과징금 비례성
1483,2022-04-27,2022,enforcement,4,6000000.0,1,1,1,1,0,0,0,2,대규모 유출과 과징금 비례성
149,2018-11-26,2018,data_provision_request,0,,0,0,0,0,0,1,0,2,대규모 유출과 과징금 비례성
1491,2022-05-11,2022,enforcement,4,3600000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
155,2018-12-10,2018,other,0,,0,0,0,0,1,1,0,2,대규모 유출과 과징금 비례성
1583,2022-06-22,2022,enforcement,4,5000000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
1585,2022-07-13,2022,enforcement,4,6000000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
1587,2022-07-13,2022,enforcement,4,7800000.0,1,1,1,0,0,0,0,2,대규모 유출과 과징금 비례성
1609,2022-05-25,2022,enforcement,4,3600000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1611,2022-05-25,2022,enforcement,4,3000000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
1613,2022-05-25,2022,enforcement,4,4500000.0,1,1,0,0,0,0,0,2,대규모 유출과 과징금 비례성
